x,E
0.01,-39.80786385756562
0.01,39.807863857564044
0.01,-37.99157341008021
0.01,37.991573410080164
0.01,36.738070597896794
0.01,-36.738070597896126
0.01,-36.112875985860015
0.01,36.112875985859134
0.01,34.176192704175406
0.01,-34.176192704175314
0.01,32.190319194639045
0.01,-32.19031919463731
0.01,-31.565006194749824
0.01,31.565006194748456
0.01,-30.175396363137175
0.01,30.17539636313573
0.01,28.20961402628123
0.01,-28.20961402628103
0.01,26.437766443009455
0.01,-26.43776644300838
0.01,0.40548169868927264
0.01,-0.4054816986891027
0.01,-0.3353177978470055
0.01,0.33531779784689736
0.01,0.31666610767706355
0.01,-0.31666610767699976
0.01,-0.3132526247915581
0.01,0.3132526247915054
0.01,-0.3122598015904435
0.01,0.3122598015903783
0.01,0.3046332785557269
0.01,-0.30463327855564126
0.01,-0.3019474368062115
0.01,0.3019474368061663
0.01,-0.3003484839667401
0.01,0.3003484839667195
0.01,0.28892175972558587
0.01,-0.28892175972553297
0.01,0.28318170870606846
0.01,-0.28318170870600945
0.01,-0.2821814968554254
0.01,0.28218149685536975
0.01,0.28106584748992786
0.01,-0.28106584748966723
0.01,-0.2711032572330373
0.01,0.2711032572330105
0.01,0.26730302317274385
0.01,-0.2673030231726947
0.01,0.26665076224142886
0.01,-0.26665076224142187
0.01,-0.2611589990197734
0.01,0.261158999019689
0.01,0.2534924523967529
0.01,-0.2534924523967505
0.01,-0.2529991905385168
0.01,0.25299919053846054
0.01,0.2394297582269679
0.01,-0.23942975822684573
0.01,-0.2376482535615527
0.01,0.23764825356144523
0.01,-0.23577891328408357
0.01,0.235778913283955
0.01,-0.23570000327022064
0.01,0.2357000032702066
0.01,0.2332593213812504
0.01,-0.2332593213812235
0.01,-0.22493693433109008
0.01,0.22493693433097228
0.01,-0.22457340911181992
0.01,0.2245734091117594
0.01,-0.20945560027074706
0.01,0.20945560027073365
0.01,0.20865738955379623
0.01,-0.20865738955363725
0.01,0.20712440951033015
0.01,-0.20712440951024932
0.01,-0.2036987268317436
0.01,0.2036987268317256
0.01,-0.2019377547154025
0.01,0.201937754715179
0.01,-0.19813151761119055
0.01,0.19813151761116168
0.01,-0.19675599673297886
0.01,0.19675599673294716
0.01,0.18354202883403029
0.01,-0.18354202883388768
0.01,0.18126661796805066
0.01,-0.18126661796795848
0.01,0.18045792982744546
0.01,-0.18045792982741168
0.01,0.1753451887172531
0.01,-0.17534518871716967
0.01,-0.17271941427146265
0.01,0.17271941427145418
0.01,-0.17188873212676928
0.01,0.17188873212657804
0.01,0.17041928186241165
0.01,-0.1704192818622944
0.01,0.15981432859540848
0.01,-0.15981432859518044
0.01,-0.15574774796023091
0.01,0.15574774796011492
0.01,0.15508813329138763
0.01,-0.1550881332913765
0.01,0.1491518618133336
0.01,-0.14915186181321582
0.01,-0.14889011030593888
0.01,0.14889011030591287
0.01,0.14613322012055596
0.01,-0.1461332201205062
0.01,0.14599274774579443
0.01,-0.1459927477456137
0.01,0.13767925325500643
0.01,-0.13767925325480976
